attribue,value,selectivity
make,Audi,0.108108108
make,BMW,0.135135135
make,Buick,0.045045045
make,Chevrolet,0.099099099
make,Ford,0.081081081
make,GMC,0.054054054
make,Honda,0.072072072
make,Mazda,0.045045045
make,Mercedes-Benz,0.09009009
make,Nissan,0.126126126
make,Toyota,0.108108108
make,Volvo,0.036036036
body_style,hatchbacks,0.117117117
body_style,sedans,0.414414414
body_style,suvs,0.468468468
color,red,0.25
color,blue,0.25
color,black,0.25
color,white,0.25
